day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,NUM_COLLISIONS
3,2016,1,6,06-Jan-16,31.2,2.8,1034.2,10,2.4,7,0,41,10.9,0,0,0,0,0,0,0,0,625
7,2018,1,21,21-Jan-18,46,28.3,1019.4,10,3.4,7,0,52,37.9,0,0,0,0,0,0,0,0,418
2,2018,1,16,16-Jan-18,29.1,22.2,1032,10,3.9,7,0,36,16,0,0,0,0,0,0,0,0,617
3,2015,1,21,21-Jan-15,31.4,8.9,1019.4,10,4.2,7,0,39.9,25,0,0,0,0,0,0,0,0,495
2,2018,2,27,27-Feb-18,46.5,21,1026.3,10,3.6,7,0,55.9,39,0,0,0,0,0,0,0,0,631
7,2016,3,6,06-Mar-16,37.3,14.5,1024.1,10,2.7,7,0,44.1,28,0,0,0,0,0,0,0,0,500
1,2019,3,18,18-Mar-19,38.3,11.2,1024.4,10,3,7,0,46,32,0,0,0,0,0,0,0,0,575
2,2018,3,27,27-Mar-18,39.8,21.8,1034,10,3.2,7,0,50,34,0,0,0,0,0,0,0,0,627
1,2015,4,6,06-Apr-15,50.8,34.8,1024.1,10,3.5,7,0,62.1,42.1,0,0,0,0,0,0,0,0,510
1,2016,4,25,25-Apr-16,58,38.5,1015.5,10,3.6,7,0,69.1,46.9,0,0,0,0,0,0,0,0,488
4,2016,5,19,19-May-16,60.3,41.2,1018.7,10,1.2,7,0,73,54,0,0,0,0,0,0,0,0,694
4,2013,5,2,02-May-13,58.9,41.2,1030.2,10,2.3,7,0,72,48.9,0,0,0,0,0,0,0,0,585
3,2014,5,21,21-May-14,69.5,45.3,1014.5,10,2.7,7,0,78.1,53.1,0,0,0,0,0,0,0,0,575
3,2016,5,11,11-May-16,62.4,38.7,1021.1,10,2.8,7,0,75.9,50,0,0,0,0,0,0,0,0,699
2,2014,5,20,20-May-14,66.2,36.9,1018.3,10,2.9,7,0,78.1,48.9,0,0,0,0,0,0,0,0,650
