day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
6,2018,10,06,2018-10-06,64.2,59.5,1022.2,8.5,0.7,2.9,999.9,71.1,60.1,0.0,999.9,0,0,0,257,144,51,14,7,1,13,11,3,4,5,1,0,0,1,1,0,1,0,0
3,2018,09,12,2018-09-12,73.5,71.2,1022.3,5.6,0.6,2.9,999.9,77.0,62.1,0.03,999.9,1,1,0,367,196,89,16,6,18,3,19,7,0,5,3,2,0,1,0,2,0,0,0
5,2015,12,25,2015-12-25,62.0,52.1,1020.3,9.2,0.7,4.1,999.9,72.0,57.0,0.01,999.9,0,1,0,76,45,0,9,1,8,6,2,2,3,0,0,0,0,0,0,0,0,0,0
6,2013,08,17,2013-08-17,72.6,53.5,1023.9,10.0,1.6,4.1,999.9,84.0,64.0,0.0,999.9,0,0,0,84,48,2,11,0,0,7,1,3,10,0,1,1,0,0,0,0,0,0,0
1,2014,07,21,2014-07-21,73.9,60.3,1021.3,9.8,1.6,4.1,999.9,84.9,64.0,0.0,999.9,0,0,0,93,67,1,6,1,0,3,2,0,10,0,2,0,0,0,1,0,0,0,0
3,2013,09,25,2013-09-25,62.5,43.4,1013.5,10.0,2.0,4.1,999.9,73.0,46.9,0.0,999.9,0,0,0,102,71,1,5,3,0,2,0,2,10,0,2,1,5,0,0,0,0,0,0
7,2015,09,06,2015-09-06,74.1,55.8,1022.8,10.0,1.0,4.1,999.9,87.1,64.9,0.0,999.9,0,0,0,108,71,1,8,1,0,9,0,1,7,0,2,2,1,3,2,0,0,0,0
3,2013,10,30,2013-10-30,52.8,39.0,1025.5,9.6,1.8,4.1,999.9,60.1,44.1,0.0,999.9,0,0,0,97,75,1,9,1,0,1,0,1,7,0,1,0,0,0,1,0,0,0,0
5,2013,10,04,2013-10-04,73.5,59.7,1017.0,8.5,2.0,4.1,999.9,86.0,63.0,0.0,999.9,0,1,0,115,86,0,9,0,0,7,2,2,6,0,0,2,0,1,0,0,0,0,0
3,2015,09,16,2015-09-16,75.8,53.6,1025.7,10.0,1.5,4.1,999.9,88.0,62.1,0.0,999.9,0,0,0,138,112,2,2,0,0,4,3,4,7,0,0,3,1,0,0,0,0,0,0
3,2018,07,04,2018-07-04,80.4,73.0,1024.6,6.7,0.5,4.1,999.9,91.9,77.0,0.01,999.9,0,0,0,195,114,33,7,6,0,13,7,3,3,4,2,2,0,0,1,0,0,0,0
7,2018,06,10,2018-06-10,68.3,53.2,1017.7,10.0,0.6,4.1,999.9,82.9,62.1,0.0,999.9,0,1,0,250,127,49,14,19,7,13,6,3,2,2,2,1,0,3,1,1,0,0,0
1,2018,07,30,2018-07-30,74.6,61.2,1020.3,9.8,1.4,4.1,999.9,82.0,70.0,0.0,999.9,1,1,0,255,140,61,12,4,0,7,9,6,2,2,3,4,1,1,2,0,0,1,0
6,2018,08,25,2018-08-25,73.2,57.9,1024.7,10.0,1.2,4.1,999.9,82.0,64.9,0.0,999.9,0,0,0,264,142,54,12,12,0,13,15,4,1,2,3,1,2,1,0,1,0,1,0
6,2019,09,21,2019-09-21,71.8,49.8,1022.3,10.0,2.3,4.1,999.9,84.0,55.9,0.0,999.9,0,0,0,272,153,52,10,11,0,12,11,5,2,3,5,4,2,1,1,0,0,0,0
2,2018,10,09,2018-10-09,69.8,66.1,1027.0,7.8,0.8,4.1,999.9,77.0,64.0,0.0,999.9,0,0,0,289,162,74,7,11,2,6,12,6,1,5,1,0,0,0,0,0,2,0,0
6,2017,10,21,2017-10-21,65.5,37.6,1025.3,10.0,1.7,4.1,999.9,78.1,55.9,0.0,999.9,0,0,0,283,163,56,8,10,0,15,12,3,2,9,2,1,2,0,0,0,0,0,0
2,2019,04,23,2019-04-23,63.3,50.6,1012.7,10.0,1.9,4.1,999.9,77.0,55.9,0.24,999.9,0,0,0,275,170,54,6,7,0,5,18,4,2,1,5,1,2,0,0,0,0,0,0
4,2018,05,17,2018-05-17,61.2,58.5,1016.6,4.2,1.3,4.1,999.9,71.1,55.4,0.54,999.9,0,1,0,325,173,83,12,7,11,5,11,8,1,5,5,1,0,0,1,1,0,1,0
5,2018,09,21,2018-09-21,68.7,61.5,1022.0,10.0,1.7,4.1,999.9,72.0,64.9,0.0,999.9,0,0,0,333,174,82,9,12,0,8,20,6,2,13,1,2,1,1,0,2,0,0,0
3,2018,06,20,2018-06-20,75.9,54.2,1011.0,10.0,1.6,4.1,999.9,88.0,69.1,0.07,999.9,0,0,0,322,175,74,16,14,0,2,17,8,0,7,3,2,0,2,0,2,0,0,0
