day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
7,2014,6,22,22/06/2014,69.8,53.2,1014.3,10,1.5,5.1,0,79,62.1,0,0,0,0,0,74,51,0,9,2,0,4,0,0,6,0,1,1,0,0,0,0,0,0,0
1,2015,11,2,02/11/2015,59.4,44.7,1017.1,10,2.6,5.1,0,64.9,54,0,0,0,0,0,110,73,0,12,0,0,4,2,3,13,0,2,0,0,1,0,0,0,0,0
3,2013,9,18,18/09/2013,60,41.9,1026,10,1.4,5.1,0,72,50,0,0,0,0,0,104,77,0,5,0,0,4,2,3,8,0,2,3,0,0,0,0,0,0,0
3,2013,7,31,31/07/2013,74.1,56.3,1019.9,10,2.2,5.1,0,82.9,66.9,0,0,0,0,0,98,77,0,4,0,0,4,0,3,7,0,1,0,1,1,0,0,0,0,0
6,2015,7,25,25/07/2015,78.2,54.5,1014.8,10,2.5,5.1,0,88,69.1,0,0,0,0,0,117,83,0,7,1,0,6,0,3,10,0,5,0,2,0,0,0,0,0,0
2,2014,8,5,05/08/2014,78.6,61.8,1015.9,10,1.4,5.1,0,89.1,70,0,0,0,0,0,124,92,0,10,0,0,1,0,2,9,0,3,4,1,2,0,0,0,0,0
3,2015,11,25,25/11/2015,42.5,24.9,1038.1,10,2.3,5.1,0,50,32,0,0,0,0,0,129,98,0,9,0,0,6,3,1,7,0,3,0,1,1,0,0,0,0,0
4,2015,9,17,17/09/2015,77,55.4,1021.3,10,1.3,5.1,0,89.1,66,0,0,0,0,0,154,113,0,13,1,0,6,1,0,13,0,2,2,3,0,0,0,0,0,0
1,2013,10,14,14/10/2013,58.2,46.2,1026.9,10,2.8,6,0,66,52,0,0,0,0,0,75,50,0,8,0,0,6,0,3,5,0,1,0,2,0,0,0,0,0,0
6,2015,10,31,31/10/2015,49.1,31.5,1021.2,10,3,6,0,61,42.1,0,0,0,0,0,92,56,0,10,0,0,7,1,3,12,0,2,1,0,0,0,0,0,0,0
2,2013,10,22,22/10/2013,59.5,44.8,1011.4,10,3.8,6,0,66.9,50,0,0,0,0,0,81,57,0,5,1,0,0,1,3,9,0,0,2,2,1,0,0,0,0,0
7,2014,8,10,10/08/2014,77.5,56.1,1019.5,10,2.3,6,0,88,66,0,0,0,0,0,92,59,0,7,0,0,6,1,5,8,0,4,1,0,1,0,0,0,0,0
6,2014,6,7,07/06/2014,71,50.9,1014.5,10,2.5,6,0,82,60.1,0,0,0,0,0,111,75,0,9,0,0,8,0,4,9,0,2,1,2,1,0,0,0,0,0
4,2013,9,19,19/09/2013,64.3,47.4,1021.1,10,2.9,6,0,78.1,51.1,0,0,0,0,0,108,76,0,7,0,0,3,0,3,14,0,0,1,3,1,0,0,0,0,0
2,2013,11,5,05/11/2013,46.8,30.4,1036.8,10,3.8,6,0,55,35.1,0,0,0,0,0,98,82,0,6,0,0,1,0,1,6,0,0,1,0,1,0,0,0,0,0
5,2014,8,8,08/08/2014,73.2,51.2,1017.3,10,2.7,6,0,82.9,64.9,0,0,0,0,0,114,85,0,9,0,0,4,0,4,7,0,2,1,1,1,0,0,0,0,0
3,2013,11,6,06/11/2013,54.4,42.1,1029,10,3,6,0,61,41,0,0,0,0,0,115,85,0,5,2,0,5,2,5,8,0,1,0,2,0,0,0,0,0,0
2,2015,10,27,27/10/2015,51.9,35.6,1033.2,10,3.5,6,0,59,45,0,0,0,0,0,143,99,0,8,1,0,6,2,6,15,0,4,0,0,0,0,0,1,0,1
4,2015,8,27,27/08/2015,73.8,52.5,1017,10,2.6,6,0,84.9,66.9,0,0,0,0,0,134,100,0,8,1,0,3,0,2,16,0,0,0,2,2,0,0,0,0,0
6,2015,8,15,15/08/2015,80.7,60.6,1019.2,10,3.3,6,0,91.9,66.9,0,0,0,0,0,149,104,0,11,1,0,7,1,2,11,0,6,2,2,2,0,0,0,0,0
1,2015,10,19,19/10/2015,42.9,23.8,1029.7,10,2.2,6,14,53.1,35.1,0,0,0,0,0,143,105,0,9,2,0,4,0,2,11,0,1,1,8,0,0,0,0,0,0
3,2015,10,7,07/10/2015,64.9,49.3,1015.2,10,2.5,6,0,73,52,0,0,0,0,0,154,115,0,14,0,0,7,2,4,7,0,2,2,0,1,0,0,0,0,0
4,2015,8,13,13/08/2015,75.4,53.9,1015.8,10,3.3,6,0,84.9,66.9,0,0,0,0,0,175,127,0,7,1,0,7,1,3,19,0,3,2,5,0,0,0,0,0,0
7,2014,11,30,30/11/2014,47.5,30.7,1021.2,10,3.3,7,0,54,27,0,0,0,0,0,85,61,0,5,1,0,8,1,0,7,0,0,2,0,0,0,0,0,0,0
7,2013,8,25,25/08/2013,72.8,53.9,1027.2,10,2.4,7,0,82.9,64,0,0,0,0,0,97,66,0,5,1,0,3,1,3,11,0,3,2,0,2,0,0,0,0,0
7,2015,5,24,24/05/2015,66.2,41.2,1026.5,10,3.3,7,15,81,48.9,0,0,0,0,0,99,67,0,11,2,0,11,0,0,2,0,4,1,0,1,0,0,0,0,0
3,2014,5,21,21/05/2014,69.5,45.3,1014.5,10,2.7,7,0,78.1,53.1,0,0,0,0,0,94,70,0,4,2,0,0,4,2,5,0,1,3,0,1,0,0,0,0,2
6,2014,6,28,28/06/2014,74.5,54.8,1023.9,10,2.5,7,0,87.1,66,0,0,0,0,0,118,72,0,12,2,0,6,5,2,10,0,5,2,0,1,0,0,1,0,0
6,2013,9,28,28/09/2013,64.1,49.4,1025.3,10,4.4,7,15,73,55.9,0,0,0,0,0,100,75,0,6,0,0,5,1,2,9,0,2,0,0,0,0,0,0,0,0
5,2015,7,24,24/07/2015,77.8,49,1013.3,10,2.1,7,0,87.1,68,0,0,0,0,0,104,79,0,7,1,0,2,1,1,6,0,1,2,3,1,0,0,0,0,0
2,2014,5,20,20/05/2014,66.2,36.9,1018.3,10,2.9,7,0,78.1,48.9,0,0,0,0,0,106,84,0,4,1,0,4,1,1,6,0,1,0,1,3,0,0,0,0,0
6,2014,9,27,27/09/2014,70.7,53.4,1022.3,10,2.7,7,0,82.9,57.9,0,0,0,0,0,123,86,0,12,0,0,5,1,1,11,0,4,1,1,1,0,0,0,0,0
7,2016,3,6,06/03/2016,37.3,14.5,1024.1,10,2.7,7,0,44.1,28,0,0,0,0,0,129,87,0,10,1,0,8,3,5,7,0,1,3,1,3,0,0,0,0,0
2,2014,11,4,04/11/2014,59.5,23.7,1020,10,4.4,7,15,68,39,0,0,0,0,0,130,93,0,10,0,0,8,3,3,6,0,5,0,2,0,0,0,0,0,0
6,2013,6,22,22/06/2013,72.4,54,1023.6,10,4.1,7,0,84,64.9,0,0,0,0,0,129,93,0,9,2,0,7,0,1,12,0,3,0,1,1,0,0,0,0,0
5,2014,10,10,10/10/2014,58.7,37,1018.6,10,2.6,7,0,68,52,0,0,0,0,0,122,95,0,4,0,0,7,1,3,6,0,2,0,1,3,0,0,0,0,0
5,2014,9,12,12/09/2014,70.1,52.7,1017.2,10,4.2,7,15,82.9,62.1,0,0,0,0,0,130,96,0,8,0,0,2,2,3,14,0,2,2,0,1,0,0,0,0,0
1,2014,8,11,11/08/2014,77.5,56.2,1019.9,10,2.7,7,0,88,68,0,0,0,0,0,141,98,0,19,2,0,6,1,3,6,0,1,4,1,0,0,0,0,0,0
2,2015,11,24,24/11/2015,38.2,18,1026.1,10,3.8,7,0,46,32,0,0,0,0,0,151,110,0,13,2,0,5,0,3,9,0,6,0,3,0,0,0,0,0,0
2,2015,5,26,26/05/2015,76.1,57.5,1021.8,10,4.5,7,15.9,88,64,0,0,0,0,0,170,135,0,10,1,0,2,1,3,6,0,5,3,3,1,0,0,0,0,0
4,2013,12,26,26/12/2013,31.9,18.7,1026.3,10,4.5,8,15.9,35.1,28,0,0,0,0,0,67,44,0,6,0,0,3,1,1,8,0,1,0,3,0,0,0,0,0,0
6,2013,3,30,30/03/2013,48,24.5,1019.9,10,3.8,8,0,59,39.9,0,0,0,0,0,95,50,0,16,0,0,13,0,1,12,0,0,2,1,0,0,0,0,0,0
6,2013,11,30,30/11/2013,31.2,14.3,1039.1,10,4.9,8,0,39,25,0,0,0,0,0,80,52,0,9,2,0,5,2,2,6,0,1,0,1,0,0,0,0,0,0
