day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,NUM_COLLISIONS
3,2016,01,06,2016-01-06,31.2,2.8,1034.2,10.0,2.4,7.0,999.9,41.0,10.9,0.0,999.9,0,0,0,0,0,0,625
4,2018,01,11,2018-01-11,44.7,36.7,1028.2,8.8,2.4,6.0,999.9,53.1,30.0,0.0,3.9,0,0,0,0,0,0,696
4,2014,01,09,2014-01-09,25.3,5.4,1035.2,10.0,2.8,8.0,999.9,32.0,9.0,0.0,999.9,0,0,0,0,0,0,561
7,2013,01,13,2013-01-13,45.3,43.1,1019.7,4.2,2.9,8.0,999.9,48.9,43.0,0.02,999.9,1,0,0,0,0,0,373
4,2016,01,07,2016-01-07,37.9,8.7,1027.2,10.0,2.9,8.0,999.9,46.0,25.0,0.0,999.9,0,0,0,0,0,0,542
5,2014,01,10,2014-01-10,32.3,22.6,1033.3,6.4,2.9,7.0,999.9,36.0,21.9,0.0,999.9,0,1,1,0,0,0,667
1,2016,01,25,2016-01-25,32.7,16.2,1022.9,9.6,2.9,6.0,999.9,39.0,19.9,0.0,22.0,0,0,0,0,0,0,658
4,2017,01,19,2017-01-19,42.1,35.0,1016.5,10.0,3.0,8.0,999.9,48.9,37.9,0.06,999.9,0,0,0,0,0,0,610
1,2017,01,16,2017-01-16,35.0,20.0,1029.7,10.0,3.1,7.0,999.9,43.0,30.0,0.0,1.2,0,0,0,0,0,0,477
4,2015,01,29,2015-01-29,26.6,6.5,1024.2,10.0,3.1,6.0,999.9,34.0,16.0,0.0,7.9,0,0,0,0,0,0,519
4,2014,01,30,2014-01-30,21.2,0.2,1027.9,10.0,3.1,8.9,18.1,30.0,14.0,0.0,2.0,0,0,0,0,0,0,657
5,2018,01,26,2018-01-26,30.7,4.8,1037.1,10.0,3.2,8.0,14.0,37.9,23.0,0.0,999.9,0,0,0,0,0,0,677
1,2018,01,22,2018-01-22,45.1,37.0,1021.1,7.0,3.2,8.0,14.0,50.0,41.0,0.01,999.9,0,0,0,0,0,0,559
1,2015,01,12,2015-01-12,36.9,23.7,1029.2,6.6,3.3,8.9,15.0,37.9,35.1,0.01,1.2,0,1,0,0,0,0,580
3,2014,01,15,2014-01-15,42.6,37.5,1009.9,8.8,3.3,6.0,999.9,46.9,39.2,0.38,999.9,0,0,0,0,0,0,583
7,2015,01,18,2015-01-18,35.1,27.8,1021.2,5.7,3.3,6.0,999.9,42.8,30.0,0.0,999.9,1,1,0,0,0,0,961
4,2015,01,22,2015-01-22,34.4,19.0,1022.5,8.3,3.4,8.0,999.9,39.9,25.0,0.0,999.9,0,0,0,0,0,0,508
7,2018,01,21,2018-01-21,46.0,28.3,1019.4,10.0,3.4,7.0,999.9,52.0,37.9,0.0,999.9,0,0,0,0,0,0,418
6,2013,01,12,2013-01-12,44.6,43.0,1020.5,3.9,3.5,7.0,999.9,46.9,42.1,0.57,999.9,0,1,0,0,0,0,475
1,2013,01,28,2013-01-28,31.8,19.0,1029.1,6.9,3.5,8.9,18.1,34.0,28.9,0.0,1.2,0,1,1,0,0,0,507
3,2018,01,03,2018-01-03,21.6,2.1,1025.4,10.0,3.5,8.0,24.1,30.0,12.9,0.0,999.9,0,0,0,0,0,0,645
4,2015,01,15,2015-01-15,29.5,16.3,1019.8,10.0,3.6,8.0,999.9,34.0,25.0,0.0,999.9,0,0,0,0,0,0,548
3,2013,01,30,2013-01-30,45.7,42.9,1010.2,3.5,3.6,8.9,999.9,59.0,39.0,0.06,999.9,1,1,0,0,0,0,497
4,2013,01,03,2013-01-03,28.4,14.1,1020.6,10.0,3.7,8.0,15.0,32.0,24.1,0.0,999.9,0,0,0,0,0,0,549
7,2017,01,15,2017-01-15,33.0,23.8,1027.0,8.5,3.7,8.0,999.9,37.9,28.0,0.12,999.9,0,0,1,0,0,0,490
7,2017,01,22,2017-01-22,44.5,43.6,1006.9,3.4,3.7,9.9,17.1,48.9,41.0,0.0,999.9,1,1,0,0,0,0,411
3,2018,01,10,2018-01-10,35.1,21.0,1030.3,10.0,3.7,7.0,999.9,44.1,30.0,0.0,5.1,0,0,0,0,0,0,687
3,2013,01,09,2013-01-09,43.8,30.8,1026.3,7.8,3.7,9.9,15.9,48.9,39.0,0.0,999.9,0,0,0,0,0,0,487
5,2016,01,15,2016-01-15,41.2,27.5,1012.0,9.5,3.8,8.0,15.0,51.1,21.9,0.0,999.9,0,0,0,0,0,0,722
2,2017,01,17,2017-01-17,40.0,30.4,1024.1,6.6,3.8,9.9,17.1,43.0,30.0,0.0,999.9,0,1,0,0,0,0,657
7,2018,01,28,2018-01-28,51.2,42.8,1023.9,9.0,3.8,8.0,18.1,55.9,48.0,0.14,999.9,0,1,0,0,0,0,412
7,2014,01,05,2014-01-05,30.3,21.9,1025.6,6.4,3.8,7.0,15.0,36.0,27.0,0.0,5.9,1,0,1,0,0,0,320
2,2018,01,16,2018-01-16,29.1,22.2,1032.0,10.0,3.9,7.0,999.9,36.0,16.0,0.0,999.9,0,0,0,0,0,0,617
1,2013,01,14,2013-01-14,52.5,45.4,1016.8,5.9,3.9,8.9,15.9,72.0,48.0,0.0,999.9,1,0,0,0,0,0,542
6,2017,01,21,2017-01-21,42.9,41.0,1011.5,5.3,4.0,7.0,14.0,48.9,39.9,0.1,999.9,0,0,0,0,0,0,475
